Sample_ID,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
HUM0582_S39_R1_001amrf_output,NA,NODE_30315_length_1087_cov_5.513566,156,812,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,219,219,100,100,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,NA,NA
HUM0582_S39_R1_001amrf_output,NA,NODE_4760_length_3981_cov_19.879776,2180,3979,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,600,639,93.9,100,600,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_12264_length_1577_cov_95.457293,3,1577,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,525,641,81.9,99.43,525,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_15642_length_1329_cov_8.523548,333,1292,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.06,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_23770_length_997_cov_6.046709,403,894,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_3100_length_4374_cov_5.246353,1825,2904,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_5664_length_2763_cov_20.971566,78,1994,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_5727_length_2741_cov_37.478034,77,1993,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0583_S186_R1_001amrf_output,NA,NODE_7358_length_2268_cov_20.857659,311,2227,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_14660_length_1189_cov_3.304233,2,1189,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,396,639,61.97,97.98,396,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_2369_length_4600_cov_4.854565,2504,4423,+,tet(44),tetracycline resistance ribosomal protection protein Tet(44),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,640,640,100,96.56,640,WP_063855884.1,tetracycline resistance ribosomal protection protein Tet(44),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_2616_length_4229_cov_12.663392,1326,2405,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_2874_length_3922_cov_61.558055,363,2279,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_4085_length_2967_cov_5.210508,2417,2908,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_4802_length_2625_cov_3.648249,1199,2098,+,cepA,CepA family extended-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,BLASTX,300,300,100,99.33,300,WP_032579291.1,extended-spectrum class A beta-lactamase CepA-44,NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_5143_length_2490_cov_29.016427,266,2182,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.22,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_6977_length_2003_cov_209.506674,79,1995,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_84221_length_443_cov_1.567010,63,443,+,catP,type A-11 chloramphenicol O-acetyltransferase CatP,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIAL_CONTIG_ENDX,127,207,61.35,100,127,WP_002570989.1,type A-11 chloramphenicol O-acetyltransferase CatP,NA,NA
HUM0603_S36_R1_001amrf_output,NA,NODE_8925_length_1668_cov_114.340360,1,1668,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,98.38,556,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_12799_length_1529_cov_25.628901,311,1528,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,406,639,63.54,99.01,406,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_13791_length_1456_cov_60.465382,3,1175,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,391,639,61.19,100,391,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_29468_length_886_cov_3.641396,431,886,-,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,152,288,52.78,100,152,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_40138_length_729_cov_4.899110,74,727,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,218,406,53.69,98.62,218,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_43030_length_699_cov_7.574534,149,640,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_43559_length_694_cov_6.256651,2,418,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIAL_CONTIG_ENDX,139,219,63.47,100,139,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_7484_length_2173_cov_51.512276,9,1925,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_75451_length_508_cov_1.386313,2,508,-,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,169,286,59.09,100,169,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_8541_length_1989_cov_6.281799,1238,1987,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,250,321,77.88,100,250,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0604_S51_R1_001amrf_output,NA,NODE_8768_length_1956_cov_110.265650,11,1933,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,99.84,641,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_117_length_33266_cov_14.588118,10775,12691,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.22,639,WP_014636291.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_1316_length_9196_cov_14.454217,9,1925,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_1316_length_9196_cov_14.454217,7251,9167,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.37,639,WP_014078528.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_14593_length_1572_cov_255.901780,1,1572,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,524,641,81.75,99.05,524,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_15233_length_1521_cov_4.055252,281,772,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_1589_length_8103_cov_18.441973,5726,7642,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_1828_length_7348_cov_60.807761,4859,5818,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_22786_length_1099_cov_6.340996,2,883,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,294,406,72.41,99.32,294,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0607_S188_R1_001amrf_output,NA,NODE_475_length_17522_cov_12.908513,12064,13026,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,321,321,100,99.69,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_10185_length_1668_cov_126.024179,1,1668,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,98.92,556,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_11031_length_1570_cov_25.416502,574,1533,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_11785_length_1496_cov_5.080500,63,1280,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.01,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_1641_length_6717_cov_5.276043,378,1574,+,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,399,399,100,100,399,WP_000804064.1,tetracycline efflux MFS transporter Tet(A),NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_1703_length_6561_cov_6.154934,211,999,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100,100,263,WP_001206317.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_1703_length_6561_cov_6.154934,1095,1565,-,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_000777555.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_1897_length_6077_cov_28.752242,3829,5745,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_22841_length_926_cov_6.521240,356,823,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,156,164,95.12,100,156,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_2467_length_4985_cov_5.320081,62,406,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_2467_length_4985_cov_5.320081,403,1239,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_3369_length_3919_cov_4.845238,388,1245,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_4347_length_3216_cov_6.351155,1048,2964,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.22,639,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_4386_length_3194_cov_8.232877,1197,3113,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0738_S189_R1_001amrf_output,NA,NODE_815_length_10568_cov_11.506230,516,2432,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_11294_length_2068_cov_4.164431,451,1710,+,tetA(P),tetracycline efflux MFS transporter TetA(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,420,420,100,100,420,WP_006440994.1,tetracycline efflux MFS transporter TetA(P),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_120332_length_461_cov_2.342365,1,459,-,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,153,288,53.12,100,153,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_12778_length_1913_cov_2.480624,3,1232,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,410,639,64.16,98.78,410,WP_063856112.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_14796_length_1737_cov_53.878716,1,1737,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,579,639,90.61,99.83,579,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_17176_length_1577_cov_71.105782,1,1575,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,525,641,81.9,98.86,525,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_18651_length_1501_cov_8.409405,68,1285,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.26,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_2918_length_4865_cov_9.424948,41,532,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_31746_length_1068_cov_15.899309,58,1017,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_6346_length_2998_cov_21.957866,3,1802,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,600,639,93.9,100,600,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_8415_length_2491_cov_42.014778,534,2450,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0739_S190_R1_001_amrf_output,NA,NODE_9043_length_2375_cov_3.475431,849,2375,-,tetB(P),tetracycline resistance ribosomal protection protein TetB(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,509,652,78.07,98.04,509,WP_012478245.1,tetracycline resistance ribosomal protection protein TetB(P),NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_17981_length_1330_cov_2.854902,51,1268,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.01,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_22442_length_1117_cov_25.283427,121,1080,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_23944_length_1061_cov_110.553678,3,1061,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,353,641,55.07,98.58,353,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_3261_length_4611_cov_4.529192,403,1236,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_3261_length_4611_cov_4.529192,1239,2063,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,275,275,100,100,275,WP_109545041.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_3261_length_4611_cov_4.529192,2103,2915,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_37403_length_753_cov_23.554441,104,595,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_41643_length_696_cov_2.449298,3,689,-,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,229,399,57.39,100,229,WP_000804063.1,tetracycline efflux MFS transporter Tet(A),NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_6365_length_2899_cov_9.614979,1931,2899,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,323,639,50.55,100,323,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_949_length_10140_cov_14.100645,15,1931,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0816_S37_R1_001_amrf_output,NA,NODE_9623_length_2148_cov_4.726708,711,2147,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,479,639,74.96,98.33,479,WP_063856112.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_16903_length_1361_cov_9.316998,285,1361,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,359,406,88.42,99.16,359,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_23748_length_1113_cov_2.471645,1,1113,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,371,639,58.06,98.65,371,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_32165_length_928_cov_5.406644,2,748,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,249,320,77.81,99.2,249,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_365_length_18040_cov_25.454545,1617,3533,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_3903_length_3463_cov_73.936326,1470,3392,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,96.88,641,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_57957_length_654_cov_9.607679,104,595,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_7442_length_2268_cov_25.048803,311,2227,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0847_S12_R1_001amrf_output,NA,NODE_8585_length_2067_cov_40.397614,81,1997,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
