#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_13844_length_1558_cov_4.274784	ncRNA	1441	1558	-	DIHLBK_00010	sRNA_0030	(5' truncated) Enterococcus sRNA 30	"RFAM:RF02864, SO:0000655"
NODE_19650_length_1226_cov_15.893254	cds	161	1201	-	DIHLBK_00015	tet(40)	tetracycline efflux MFS transporter Tet(40)	"KEGG:K18214, NCBIProtein:WP_015573055.1, SO:0001217, UniRef:UniRef50_F4XDK4, UniRef:UniRef90_R9L794"
NODE_20425_length_1194_cov_29.798068	cds	37	999	-	DIHLBK_00020	cfxA6	broad-spectrum class A beta-lactamase CfxA6	"NCBIProtein:WP_117664257.1, RefSeq:WP_153093108.1, SO:0001217, UniParc:UPI0012922B96, UniRef:UniRef100_A0A6G1UBT4, UniRef:UniRef50_P30899, UniRef:UniRef90_A0A7K0B099"
NODE_35_length_74010_cov_47.970550	cds	91	1101	-	DIHLBK_00025		Rol-Rep-N domain-containing protein	"RefSeq:WP_009274733.1, SO:0001217, UniParc:UPI0001E69684, UniRef:UniRef100_A0A4Q5C3R7, UniRef:UniRef50_R9IRQ7, UniRef:UniRef90_R9IRQ7"
NODE_35_length_74010_cov_47.970550	cds	1649	2320	+	DIHLBK_00030		HTH cro/C1-type domain-containing protein	"RefSeq:WP_002322214.1, SO:0001217, UniParc:UPI0001835AE3, UniRef:UniRef100_A0A1L5KWS7, UniRef:UniRef50_C0CKQ2, UniRef:UniRef90_G1VX39"
NODE_35_length_74010_cov_47.970550	cds	2631	3110	+	DIHLBK_00035		DNA-binding-1 domain-containing protein	"RefSeq:WP_002322212.1, SO:0001217, UniParc:UPI0001835AE5, UniRef:UniRef100_A0A1L5KWS6, UniRef:UniRef50_B8I267, UniRef:UniRef90_C0CKJ8"
NODE_35_length_74010_cov_47.970550	cds	3418	3912	+	DIHLBK_00040	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	"EC:1.5.1.3, KEGG:K00287, NCBIProtein:WP_002322211.1, RefSeq:WP_002322211.1, SO:0001217, UniParc:UPI00000B6DA1, UniRef:UniRef100_A0A1L5KI75, UniRef:UniRef50_B0NHQ4, UniRef:UniRef90_A0A1L5KI75"
NODE_35_length_74010_cov_47.970550	cds	4296	5696	-	DIHLBK_00045		Beta-glucosidase	"SO:0001217, UniRef:UniRef50_A0A239T1G4, UniRef:UniRef90_A0A447U9X3"
NODE_35_length_74010_cov_47.970550	cds	5855	7123	+	DIHLBK_00050	celB	PTS cellobiose transporter subunit IIC	"RefSeq:WP_020916046.1, SO:0001217, UniParc:UPI00035BFFED, UniRef:UniRef100_S5RIS7, UniRef:UniRef50_O05507, UniRef:UniRef90_A0A139R3F0"
NODE_35_length_74010_cov_47.970550	cds	7176	7901	+	DIHLBK_00055	gntR	GntR family transcriptional regulator	"KEGG:K03492, RefSeq:WP_020916047.1, SO:0001217, UniParc:UPI00035BFA64, UniRef:UniRef100_A0A654M775, UniRef:UniRef50_R2REP2, UniRef:UniRef90_F5X4E4"
NODE_35_length_74010_cov_47.970550	cds	7975	8925	+	DIHLBK_00060	manA	"mannose-6-phosphate isomerase, class I"	"RefSeq:WP_058813597.1, SO:0001217, UniParc:UPI000733A4B3, UniRef:UniRef100_A0A654M7Q7, UniRef:UniRef50_Q59935, UniRef:UniRef90_E8JR47"
NODE_35_length_74010_cov_47.970550	cds	9047	9415	-	DIHLBK_00065		"Mannan endo-1,4-beta-mannosidase"	"SO:0001217, UniRef:UniRef50_A0A3S4HZT4, UniRef:UniRef90_A0A3S4HZT4"
NODE_35_length_74010_cov_47.970550	cds	9880	10593	+	DIHLBK_00070	gntR	GntR family transcriptional regulator	"RefSeq:WP_020916050.1, SO:0001217, UniParc:UPI00035C035D, UniRef:UniRef100_A0A654M7F6, UniRef:UniRef50_S0RXN4, UniRef:UniRef90_A0A380KMI2"
NODE_35_length_74010_cov_47.970550	cds	10627	11490	+	DIHLBK_00075		Sugar kinase	"RefSeq:WP_058833279.1, SO:0001217, UniParc:UPI000737B282, UniRef:UniRef100_A0A2X4F1I0, UniRef:UniRef50_A0A0T8BKM0, UniRef:UniRef90_A0A380KK88"
NODE_35_length_74010_cov_47.970550	cds	11500	12141	+	DIHLBK_00080		Lipase/acylhydrolase family protein	"RefSeq:WP_214255786.1, SO:0001217, UniParc:UPI000E873CCA, UniRef:UniRef100_UPI000E873CCA, UniRef:UniRef50_A0A239T110, UniRef:UniRef90_T0ULH8"
NODE_35_length_74010_cov_47.970550	cds	12294	14516	+	DIHLBK_00085		GTP diphosphokinase	"RefSeq:WP_020916053.1, SO:0001217, UniParc:UPI00035BFE65, UniRef:UniRef100_A0A654M7T0, UniRef:UniRef50_Q54089, UniRef:UniRef90_F5WYK2"
NODE_35_length_74010_cov_47.970550	cds	14644	15087	+	DIHLBK_00090	dtd	D-aminoacyl-tRNA deacylase	"EC:3.1.1.96, KEGG:K07560, RefSeq:WP_058813600.1, SO:0001217, UniParc:UPI000733AF6C, UniRef:UniRef100_A0A654M6F8, UniRef:UniRef50_P44814, UniRef:UniRef90_A0A135YQ14"
NODE_35_length_74010_cov_47.970550	cds	15117	15965	+	DIHLBK_00095		Transcriptional regulator	"RefSeq:WP_020916055.1, SO:0001217, UniParc:UPI00035C0194, UniRef:UniRef100_A0A654M3S3, UniRef:UniRef50_A0A6N3BKW2, UniRef:UniRef90_A0A380KLI4"
NODE_35_length_74010_cov_47.970550	cds	16065	17198	+	DIHLBK_00100		Maltose/maltodextrin transport system ATP-binding protein	"RefSeq:WP_020916056.1, SO:0001217, UniParc:UPI00035C085F, UniRef:UniRef100_A0A3S4LZI1, UniRef:UniRef50_Q00752, UniRef:UniRef90_A0A3S4LZI1"
NODE_35_length_74010_cov_47.970550	cds	17335	18105	-	DIHLBK_00105		"PTS system, lactose-specific, repressor"	"RefSeq:WP_020916057.1, SO:0001217, UniParc:UPI00035C0526, UniRef:UniRef100_A0A654M784, UniRef:UniRef50_P18816, UniRef:UniRef90_A0A380KML9"
NODE_35_length_74010_cov_47.970550	cds	18404	18829	+	DIHLBK_00110	lacA	galactose-6-phosphate isomerase subunit LacA	"EC:5.3.1.26, KEGG:K01819, RefSeq:WP_058813601.1, SO:0001217, UniParc:UPI000733BEE6, UniRef:UniRef100_A0A654M7R9, UniRef:UniRef50_P23494, UniRef:UniRef90_S5R269"
NODE_35_length_74010_cov_47.970550	cds	18846	19361	+	DIHLBK_00115	lacB	galactose-6-phosphate isomerase subunit LacB	"RefSeq:WP_020916059.1, SO:0001217, UniParc:UPI00035BFECF, UniRef:UniRef100_A0A654MGB3, UniRef:UniRef50_Q5HM36, UniRef:UniRef90_A0A135YQ85"
NODE_35_length_74010_cov_47.970550	cds	19373	20305	+	DIHLBK_00120	lacC	tagatose-6-phosphate kinase	"RefSeq:WP_014293854.1, SO:0001217, UniParc:UPI000246A36E, UniRef:UniRef100_A0A1C3SMH9, UniRef:UniRef50_Q04KC3, UniRef:UniRef90_A0A6N3BT54"
NODE_35_length_74010_cov_47.970550	cds	20311	21306	+	DIHLBK_00125	lacD	tagatose-bisphosphate aldolase	"RefSeq:WP_058833277.1, SO:0001217, UniParc:UPI000737C258, UniRef:UniRef100_A0A1C3SM84, UniRef:UniRef50_Q8DPP2, UniRef:UniRef90_F5X4Y1"
NODE_35_length_74010_cov_47.970550	cds	21404	22300	+	DIHLBK_00130		Aldose 1-epimerase	"RefSeq:WP_020916063.1, SO:0001217, UniParc:UPI00035BFAED, UniRef:UniRef100_A0A654M591, UniRef:UniRef50_P23496, UniRef:UniRef90_F5WYL4"
NODE_35_length_74010_cov_47.970550	cds	22502	23338	+	DIHLBK_00135		Transcriptional antiterminator	"RefSeq:WP_058813604.1, SO:0001217, UniParc:UPI000733C21C, UniRef:UniRef100_A0A654M7U0, UniRef:UniRef50_Q8E4R9, UniRef:UniRef90_A0A2X3VJF4"
NODE_35_length_74010_cov_47.970550	cds	23349	24749	+	DIHLBK_00140	lacG	6-phospho-beta-galactosidase	"SO:0001217, UniParc:UPI000733B21A, UniRef:UniRef100_A0A654M6G2, UniRef:UniRef50_C7N8L9, UniRef:UniRef90_I0SS36"
NODE_35_length_74010_cov_47.970550	cds	24930	25409	+	DIHLBK_00145		PRD domain-containing protein	"SO:0001217, UniParc:UPI00035BFC76, UniRef:UniRef100_A0A654M3T0, UniRef:UniRef50_A0A2G3NWY1, UniRef:UniRef90_A0A2G3NWY1"
NODE_35_length_74010_cov_47.970550	cds	25456	25773	+	DIHLBK_00150	lacF	PTS system lactose-specific transporter subunit IIA	"EC:2.7.1.207, KEGG:K02786, RefSeq:WP_006531657.1, SO:0001217, UniParc:UPI00017147B4, UniRef:UniRef100_A0A0U3EVX5, UniRef:UniRef50_A0A0N0DP32, UniRef:UniRef90_A0A3S4KEV9"
NODE_35_length_74010_cov_47.970550	cds	25773	27473	+	DIHLBK_00155	lacE	lactose-specific PTS transporter subunit EIIC	"EC:2.7.1.207, GO:0005886, GO:0009401, GO:0016301, GO:0016310, GO:0022869, KEGG:K02788, RefSeq:WP_020916067.1, SO:0001217, UniParc:UPI00035BFD9B, UniRef:UniRef100_A0A654M792, UniRef:UniRef50_P11162, UniRef:UniRef90_P23531"
NODE_35_length_74010_cov_47.970550	cds	27576	28982	+	DIHLBK_00160	lacG	6-phospho-beta-galactosidase	"COG:COG2723, COG:G, EC:3.2.1.85, GO:0019512, GO:0033920, RefSeq:WP_081048445.1, SO:0001217, UniParc:UPI00040DBF87, UniRef:UniRef100_A0A654MC14, UniRef:UniRef50_C7N8L9, UniRef:UniRef90_Q8DPP6"
NODE_35_length_74010_cov_47.970550	cds	29085	29540	-	DIHLBK_00165		Putative transposase	"SO:0001217, UniRef:UniRef50_A0A239WPS1, UniRef:UniRef90_A0A1C3SLF3"
NODE_35_length_74010_cov_47.970550	cds	29727	30191	+	DIHLBK_00170		hypothetical protein	PFAM:PF07745.16
NODE_35_length_74010_cov_47.970550	cds	30343	31176	-	DIHLBK_00175		Arabinose operon regulatory protein	"SO:0001217, UniRef:UniRef50_Q00753, UniRef:UniRef90_A0A6N3BTX9"
NODE_35_length_74010_cov_47.970550	cds	31286	33448	+	DIHLBK_00180		Alpha-galactosidase	"SO:0001217, UniRef:UniRef50_P27756, UniRef:UniRef90_A0A3S4IXP6"
NODE_35_length_74010_cov_47.970550	cds	33460	34731	+	DIHLBK_00185		Multiple sugar-binding protein	"RefSeq:WP_058813608.1, SO:0001217, UniParc:UPI000733C236, UniRef:UniRef100_A0A654M7H3, UniRef:UniRef50_Q00749, UniRef:UniRef90_A0A6N3BLP9"
NODE_35_length_74010_cov_47.970550	cds	34744	35610	+	DIHLBK_00190		Multiple sugar transport system permease	"RefSeq:WP_003063104.1, SO:0001217, UniParc:UPI0001714767, UniRef:UniRef100_A0A0U3DW97, UniRef:UniRef50_Q00750, UniRef:UniRef90_A0A0U3DW97"
NODE_35_length_74010_cov_47.970550	cds	35620	36453	+	DIHLBK_00195		Multiple sugar transport system permease	"RefSeq:WP_003063108.1, SO:0001217, UniParc:UPI0001E0CD1B, UniRef:UniRef100_A0A135YXK0, UniRef:UniRef50_Q00751, UniRef:UniRef90_A0A380KK52"
NODE_35_length_74010_cov_47.970550	cds	36566	38011	+	DIHLBK_00200	gtfA	sucrose phosphorylase	"RefSeq:WP_020916072.1, SO:0001217, UniParc:UPI00035BF8DD, UniRef:UniRef100_S5QYC7, UniRef:UniRef50_P10249, UniRef:UniRef90_A0A139R3I3"
NODE_35_length_74010_cov_47.970550	cds	38133	39743	+	DIHLBK_00205		"Glucan 1,6-alpha-glucosidase"	"EC:3.2.1.70, KEGG:K01215, SO:0001217, UniRef:UniRef50_A0A3P6K7W4, UniRef:UniRef90_E8JR30"
NODE_35_length_74010_cov_47.970550	cds	39777	40775	-	DIHLBK_00210		Galactose repressor	"SO:0001217, UniRef:UniRef50_U5P2X7, UniRef:UniRef90_A0A380KKM0"
NODE_35_length_74010_cov_47.970550	cds	40929	42101	+	DIHLBK_00215	galK	galactokinase	"EC:2.7.1.6, KEGG:K00849, SO:0001217, UniRef:UniRef50_P96993, UniRef:UniRef90_J3JPZ7"
NODE_35_length_74010_cov_47.970550	cds	42121	43590	+	DIHLBK_00220	galT	UDP-glucose--hexose-1-phosphate uridylyltransferase	"RefSeq:WP_020916076.1, SO:0001217, UniParc:UPI00035C05AB, UniRef:UniRef100_S5RIW1, UniRef:UniRef50_Q9ZB09, UniRef:UniRef90_F5WYM9"
NODE_35_length_74010_cov_47.970550	cds	43600	44598	+	DIHLBK_00225	galE	UDP-glucose 4-epimerase GalE	"COG:COG1087, COG:M, RefSeq:WP_020916077.1, SO:0001217, UniParc:UPI00035BFED4, UniRef:UniRef100_A0A654M7T7, UniRef:UniRef50_P21977, UniRef:UniRef90_E8JR26"
NODE_35_length_74010_cov_47.970550	cds	44678	44875	+	DIHLBK_00230		GNAT family acetyltransferase	"SO:0001217, UniParc:UPI000404C7FA, UniRef:UniRef100_A0A2X4F1L8, UniRef:UniRef50_A0A2X4F1L8, UniRef:UniRef90_A0A2X4F1L8"
NODE_35_length_74010_cov_47.970550	cds	44835	45509	+	DIHLBK_00235		GNAT family acetyltransferase	"SO:0001217, UniParc:UPI000DA40834, UniRef:UniRef100_A0A2X3VUV1, UniRef:UniRef50_A0A2X3VUV1, UniRef:UniRef90_A0A2X3VUV1"
NODE_35_length_74010_cov_47.970550	cds	45629	45958	+	DIHLBK_00240	yajC	preprotein translocase subunit YajC	"RefSeq:WP_058813614.1, SO:0001217, UniParc:UPI000733A1EA, UniRef:UniRef100_A0A654MGD2, UniRef:UniRef50_Q99XY0, UniRef:UniRef90_A0A6G8I0A5"
NODE_35_length_74010_cov_47.970550	cds	46093	46848	+	DIHLBK_00245	uppS	isoprenyl transferase	"EC:2.5.1.31, KEGG:K00806, SO:0001217, UniRef:UniRef50_Q97SR4, UniRef:UniRef90_E8JR23"
NODE_35_length_74010_cov_47.970550	cds	46861	47655	+	DIHLBK_00250		Phosphatidate cytidylyltransferase	"RefSeq:WP_020916080.1, SO:0001217, UniParc:UPI00035BF8EE, UniRef:UniRef100_A0A654M3S5, UniRef:UniRef50_A0A0E2UDQ6, UniRef:UniRef90_E8JR22"
NODE_35_length_74010_cov_47.970550	cds	47750	49012	+	DIHLBK_00255	rseP	RIP metalloprotease RseP	"RefSeq:WP_214240465.1, SO:0001217, UniParc:UPI001BDA0923, UniRef:UniRef100_UPI001BDA0923, UniRef:UniRef50_Q9RPP2, UniRef:UniRef90_E8JR21"
NODE_35_length_74010_cov_47.970550	cds	49174	51030	+	DIHLBK_00260	proS	proline--tRNA ligase	"RefSeq:WP_214240463.1, SO:0001217, UniParc:UPI001BDB4151, UniRef:UniRef100_UPI001BDB4151, UniRef:UniRef50_Q03MK9, UniRef:UniRef90_A0A380KMI1"
NODE_35_length_74010_cov_47.970550	cds	51207	55601	+	DIHLBK_00265	polC	PolC-type DNA polymerase III	"SO:0001217, UniRef:UniRef50_P63983, UniRef:UniRef90_A0A380KKM9"
NODE_35_length_74010_cov_47.970550	cds	55698	56144	+	DIHLBK_00270	marR	MarR family transcriptional regulator	"RefSeq:WP_020916084.1, SO:0001217, UniParc:UPI00035BFBEA, UniRef:UniRef100_A0A654M3U8, UniRef:UniRef50_A0A0A1DSA2, UniRef:UniRef90_A0A380KLL3"
NODE_35_length_74010_cov_47.970550	cds	56236	56781	+	DIHLBK_00275		FMN-red domain-containing protein	"RefSeq:WP_058813618.1, SO:0001217, UniParc:UPI000733BED6, UniRef:UniRef100_A0A3S4KET9, UniRef:UniRef50_M3V7E6, UniRef:UniRef90_S5QV75"
NODE_35_length_74010_cov_47.970550	cds	56885	57499	-	DIHLBK_00280	def	peptide deformylase	"RefSeq:WP_058813619.1, SO:0001217, UniParc:UPI000733A729, UniRef:UniRef100_A0A654M7A8, UniRef:UniRef50_Q48661, UniRef:UniRef90_A0A3S4IP50"
NODE_35_length_74010_cov_47.970550	cds	57566	58210	-	DIHLBK_00285		cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	"SO:0001217, UniParc:UPI00041F0597, UniRef:UniRef100_A0A3S4IS64, UniRef:UniRef50_A0A060RHC7, UniRef:UniRef90_A0A239RCF1"
NODE_35_length_74010_cov_47.970550	cds	58302	59465	+	DIHLBK_00290		MFS domain-containing protein	"RefSeq:WP_058813620.1, SO:0001217, UniParc:UPI000733AE40, UniRef:UniRef100_A0A654MGE2, UniRef:UniRef50_Q8E380, UniRef:UniRef90_S5R2A4"
NODE_35_length_74010_cov_47.970550	cds	59623	59892	+	DIHLBK_00295	rpsO	30S ribosomal protein S15	"COG:COG0184, COG:J, GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0019843, GO:1990904, RefSeq:WP_003063161.1, SO:0001217, UniParc:UPI000171472F, UniRef:UniRef100_A0A060RHD0, UniRef:UniRef50_B0JPD9, UniRef:UniRef90_B9DTE2"
NODE_35_length_74010_cov_47.970550	cds	60371	63052	+	DIHLBK_00300	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	"COG:C, COG:COG1454, RefSeq:WP_020916089.1, SO:0001217, UniParc:UPI00035C0674, UniRef:UniRef100_A0A654M3T5, UniRef:UniRef50_A0A7L8CHY5, UniRef:UniRef90_A0A139MUC9"
NODE_35_length_74010_cov_47.970550	cds	63348	63578	+	DIHLBK_00305		Transglycosylase associated protein	"RefSeq:WP_020916090.1, SO:0001217, UniParc:UPI0002FD6424, UniRef:UniRef100_E8JR10, UniRef:UniRef50_D3H7G2, UniRef:UniRef90_E8JR10"
NODE_35_length_74010_cov_47.970550	cds	63795	65987	+	DIHLBK_00310	pnp	polyribonucleotide nucleotidyltransferase	"EC:2.7.7.8, GO:0000287, GO:0003723, GO:0004654, GO:0005737, GO:0006396, GO:0006402, RefSeq:WP_020916091.1, SO:0001217, UniParc:UPI00035BFAA3, UniRef:UniRef100_A0A654M7X1, UniRef:UniRef50_Q5X9W0, UniRef:UniRef90_Q99XZ5"
NODE_35_length_74010_cov_47.970550	cds	66032	66787	+	DIHLBK_00315	sseB	SseB domain-containing protein	"RefSeq:WP_043894905.1, SO:0001217, UniParc:UPI0004169994, UniRef:UniRef100_S5R2A8, UniRef:UniRef50_Q5M6F8, UniRef:UniRef90_S5R2A8"
NODE_35_length_74010_cov_47.970550	cds	66803	67420	+	DIHLBK_00320	cysE	serine O-acetyltransferase	"RefSeq:WP_020916093.1, SO:0001217, UniParc:UPI00035C02A5, UniRef:UniRef100_A0A0W7UZI8, UniRef:UniRef50_A0A1I1K487, UniRef:UniRef90_A0A060RHK2"
NODE_35_length_74010_cov_47.970550	cds	67452	68798	+	DIHLBK_00325	cysS	cysteine--tRNA ligase	"RefSeq:WP_143887859.1, SO:0001217, UniParc:UPI00117C0EC3, UniRef:UniRef100_UPI00117C0EC3, UniRef:UniRef50_B7GJ46, UniRef:UniRef90_S5QV89"
NODE_35_length_74010_cov_47.970550	cds	68791	69192	+	DIHLBK_00330		Mini-ribonuclease 3	"RefSeq:WP_020916095.1, SO:0001217, UniParc:UPI00035BFDE4, UniRef:UniRef100_A0A654M7B4, UniRef:UniRef50_Q8DQS7, UniRef:UniRef90_A0A135YXP4"
NODE_35_length_74010_cov_47.970550	cds	69253	70002	+	DIHLBK_00335	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	"SO:0001217, UniRef:UniRef50_A0A0F2DCG1, UniRef:UniRef90_A0A380KJY5"
NODE_35_length_74010_cov_47.970550	cds	70035	70565	+	DIHLBK_00340		NYN domain-containing protein	"SO:0001217, UniParc:UPI000733AC5B, UniRef:UniRef100_A0A654MGF2, UniRef:UniRef50_E9DQM2, UniRef:UniRef90_A0A0W7V376"
NODE_35_length_74010_cov_47.970550	cds	70728	71588	+	DIHLBK_00345	degV	DegV family protein	"RefSeq:WP_058813623.1, SO:0001217, UniParc:UPI000733B431, UniRef:UniRef100_A0A654M7K9, UniRef:UniRef50_P0DA58, UniRef:UniRef90_S5RG50"
NODE_35_length_74010_cov_47.970550	cds	71719	72675	+	DIHLBK_00350	panE	Ketopantoate reductase	"COG:COG1893, COG:H, RefSeq:WP_058813624.1, SO:0001217, UniParc:UPI000733C215, UniRef:UniRef100_A0A654M3U2, UniRef:UniRef50_I8R8H9, UniRef:UniRef90_Q5M6E8"
NODE_35_length_74010_cov_47.970550	ncRNA-region	72774	72855	+			Ribosomal protein L13 leader	"RFAM:RF00555, SO:0000140"
NODE_35_length_74010_cov_47.970550	cds	72877	73323	+	DIHLBK_00355	rplM	50S ribosomal protein L13	"COG:COG0102, COG:J, RefSeq:WP_043894906.1, SO:0001217, UniParc:UPI0003FE54EF, UniRef:UniRef100_S5RJ00, UniRef:UniRef50_A5VLH3, UniRef:UniRef90_A0A074INC9"
NODE_35_length_74010_cov_47.970550	cds	73346	73738	+	DIHLBK_00360	rpsI	30S ribosomal protein S9	"COG:COG0103, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:1990904, RefSeq:WP_003067667.1, SO:0001217, UniParc:UPI0001F70D29, UniRef:UniRef100_A0A0W7UZK3, UniRef:UniRef50_P80374, UniRef:UniRef90_P66648"
NODE_566_length_12101_cov_70.203138	cds	816	1295	+	DIHLBK_00365		HTH merR-type domain-containing protein	"SO:0001217, UniRef:UniRef50_I9IRY1"
NODE_566_length_12101_cov_70.203138	cds	1566	1907	-	DIHLBK_00370		Secreted protein	"SO:0001217, UniRef:UniRef50_A0A6N2WKZ6"
NODE_566_length_12101_cov_70.203138	cds	2001	2459	-	DIHLBK_00375		hypothetical protein	
NODE_566_length_12101_cov_70.203138	cds	2803	3660	+	DIHLBK_00380		Transposase	"RefSeq:WP_004339687.1, SO:0001217, UniParc:UPI00000B51F0, UniRef:UniRef100_D4VAE5, UniRef:UniRef50_K5CSE3, UniRef:UniRef90_D4VAE5"
NODE_566_length_12101_cov_70.203138	cds	4375	5085	-	DIHLBK_00385		GXGXG domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A134BN09, UniRef:UniRef90_A0A134BN09"
NODE_566_length_12101_cov_70.203138	cds	5341	6456	+	DIHLBK_00390		DUF6371 domain-containing protein	"RefSeq:WP_004292742.1, SO:0001217, UniParc:UPI00000B9D82, UniRef:UniRef100_A0A174USP1, UniRef:UniRef50_E0NQV0, UniRef:UniRef90_A0A174USP1"
NODE_566_length_12101_cov_70.203138	cds	6821	8143	+	DIHLBK_00395		Mobilization protein	"SO:0001217, UniParc:UPI00044FE50A, UniRef:UniRef100_U2MKK1, UniRef:UniRef50_A0A5P3AXI4, UniRef:UniRef90_A0A5P3AXI4"
NODE_566_length_12101_cov_70.203138	cds	8236	9201	-	DIHLBK_00400	cfxA	CfxA family broad-spectrum class A beta-lactamase	"EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, NCBIProtein:WP_004339683.1, RefSeq:WP_007846998.1, SO:0001217, UniParc:UPI0001B1C0C2, UniRef:UniRef100_A0A844JKM0, UniRef:UniRef50_P30899, UniRef:UniRef90_P30899"
NODE_566_length_12101_cov_70.203138	cds	9677	10819	+	DIHLBK_00405	tnp	IS4 family transposase	"SO:0001217, UniRef:UniRef50_W2CPZ8, UniRef:UniRef90_W2CPZ8"
NODE_9946_length_1938_cov_24.889007	cds	6	1925	-	DIHLBK_00410	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	"COG:COG0480, COG:J, GO:0003924, GO:0005525, GO:0006412, GO:0046677, NCBIProtein:WP_002586627.1, RefSeq:WP_002586627.1, SO:0001217, UniParc:UPI0000001008, UniRef:UniRef100_O52836, UniRef:UniRef50_P10952, UniRef:UniRef90_O52836"
NODE_10499_length_2223_cov_52.853321	cds	39	1958	-	JEBHIN_00005	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	"COG:COG0480, COG:J, GO:0003924, GO:0005525, GO:0006412, GO:0046677, NCBIProtein:WP_063856405.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_P10952"
NODE_12305_length_2003_cov_47.398871	cds	6	1661	-	JEBHIN_00010	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	"COG:COG0480, COG:J, NCBIProtein:WP_002586627.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_A0A3G2C6Z4"
NODE_1619_length_8749_cov_8.809179	cds	63	1205	-	JEBHIN_00015		HTH cro/C1-type domain-containing protein	"RefSeq:WP_010727154.1, SO:0001217, UniParc:UPI0002D923EA, UniRef:UniRef100_E2SHM3, UniRef:UniRef50_A0A0H3N7B3, UniRef:UniRef90_A0A1E3A7Q8"
NODE_1619_length_8749_cov_8.809179	cds	1732	2352	+	JEBHIN_00020		HTH cro/C1-type domain-containing protein	"RefSeq:WP_010727155.1, SO:0001217, UniParc:UPI0003186D15, UniRef:UniRef100_A0A127SH11, UniRef:UniRef50_A0A829ACR2, UniRef:UniRef90_A0A829ACR2"
NODE_1619_length_8749_cov_8.809179	cds	2317	2598	-	JEBHIN_00025		hypothetical protein	
NODE_1619_length_8749_cov_8.809179	ncRNA	2740	2904	+	JEBHIN_00030	sRNA_0030	Enterococcus sRNA 30	"RFAM:RF02864, SO:0000655"
NODE_1619_length_8749_cov_8.809179	sorf	2858	2944	+	JEBHIN_00035		tetracycline resistance determinant leader peptide	"RefSeq:WP_012386611.1, SO:0001217, UniParc:UPI00000B5811, UniRef:UniRef100_A0A7G5F555, UniRef:UniRef50_A0A7G5F555, UniRef:UniRef90_A0A7G5F555"
NODE_1619_length_8749_cov_8.809179	cds	2960	4879	+	JEBHIN_00040	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	"COG:COG0480, COG:J, GO:0003924, GO:0005525, GO:0006412, GO:0046677, NCBIProtein:WP_063856112.1, RefSeq:WP_021382096.1, SO:0001217, UniParc:UPI00038CE902, UniRef:UniRef100_A0A127SNF0, UniRef:UniRef50_Q47810, UniRef:UniRef90_Q47810"
NODE_1619_length_8749_cov_8.809179	cds	5225	5578	-	JEBHIN_00045	xRE	"DNA-binding transcriptional regulator, XRE-family HTH domain"	"COG:COG1476, COG:K, RefSeq:WP_001227347.1, SO:0001217, UniParc:UPI00000B1BC3, UniRef:UniRef100_A0A8B6B5W7, UniRef:UniRef50_K1LJU3, UniRef:UniRef90_K1LJU3"
NODE_1619_length_8749_cov_8.809179	ncRNA-region	5566	5795	+			Cis-regulator of HTH transcription factor	"RFAM:RF03532, SO:0005836"
NODE_1619_length_8749_cov_8.809179	cds	5708	5854	+	JEBHIN_00050		hypothetical protein	"SO:0001217, UniParc:UPI0000D7E2ED, UniRef:UniRef100_D3U188, UniRef:UniRef50_D3U188, UniRef:UniRef90_D3U188"
NODE_1619_length_8749_cov_8.809179	cds	6083	6406	+	JEBHIN_00055		DNA-binding protein	"SO:0001217, UniParc:UPI00031A3BE4, UniRef:UniRef100_E2SHM6, UniRef:UniRef50_E2SHM6, UniRef:UniRef90_E2SHM6"
NODE_1619_length_8749_cov_8.809179	cds	6385	6714	+	JEBHIN_00060		MFS transporter	"RefSeq:WP_009271522.1, SO:0001217, UniParc:UPI0001E6AC25, UniRef:UniRef100_R6ST56, UniRef:UniRef50_N2A7F7, UniRef:UniRef90_A0A223MQL3"
NODE_1619_length_8749_cov_8.809179	cds	6941	7360	+	JEBHIN_00065		Sigma70-r4 domain-containing protein	"RefSeq:WP_010727158.1, SO:0001217, UniParc:UPI0003309FFB, UniRef:UniRef100_A0A455TSF3, UniRef:UniRef50_R9MQI4, UniRef:UniRef90_A0A6N4TI95"
NODE_1619_length_8749_cov_8.809179	cds	7993	8679	+	JEBHIN_00070	fadR	FadR family transcriptional regulator	"SO:0001217, UniRef:UniRef50_A0A6N7V303, UniRef:UniRef90_A0A6N7V303"
